year,month,sst_mean,sst_min,sst_max,date,clim_monthly_mean,anomaly
1999,1,28.366982,27.509283,28.891787,1999-01-15,28.576626,-0.20964432
1999,2,29.113253,27.769285,29.948572,1999-02-15,28.754911,0.35834122
1999,3,29.535217,28.757141,30.0875,1999-03-15,29.323496,0.21172142
1999,4,28.713629,27.50107,29.32607,1999-04-15,28.854733,-0.14110374
1999,5,27.827534,27.160717,28.87071,1999-05-15,27.985186,-0.1576519
1999,6,26.837986,25.766424,27.570356,1999-06-15,26.798796,0.039190292
1999,7,25.864435,25.37857,26.220356,1999-07-15,25.807795,0.056640625
1999,8,25.251335,24.825712,25.602858,1999-08-15,25.307146,-0.05581093
1999,9,25.69088,24.832855,26.349642,1999-09-15,25.65103,0.039850235
1999,10,26.187038,25.385359,27.253216,1999-10-15,26.394232,-0.20719337
1999,11,27.47907,26.611069,28.20143,1999-11-15,27.614315,-0.13524437
1999,12,28.256695,27.536787,28.935,1999-12-15,28.478245,-0.22154999
2000,1,28.619873,27.44714,29.5475,2000-01-15,28.576626,0.043247223
2000,2,28.915234,28.167143,29.604284,2000-02-15,28.754911,0.16032219
2000,3,28.823559,28.242144,29.429644,2000-03-15,29.323496,-0.49993706
2000,4,28.712786,27.783571,29.318213,2000-04-15,28.854733,-0.1419468
2000,5,27.68394,27.002855,28.476427,2000-05-15,27.985186,-0.30124474
2000,6,26.780571,26.166788,27.38143,2000-06-15,26.798796,-0.018224716
2000,7,25.87826,25.117857,26.682856,2000-07-15,25.807795,0.07046509
2000,8,25.214422,24.757856,25.652853,2000-08-15,25.307146,-0.09272385
2000,9,25.857714,25.14107,26.44464,2000-09-15,25.65103,0.20668411
2000,10,26.279333,25.324642,27.022856,2000-10-15,26.394232,-0.11489868
2000,11,27.383106,26.505358,28.237856,2000-11-15,27.614315,-0.2312088
2000,12,28.657545,27.963213,29.253214,2000-12-15,28.478245,0.17930031
2001,1,27.458963,26.48107,28.342144,2001-01-15,28.576626,-1.1176624
2001,2,28.539106,27.029997,29.836071,2001-02-15,28.754911,-0.21580505
2001,3,29.647396,28.80893,30.258928,2001-03-15,29.323496,0.32390022
2001,4,28.912748,28.535711,29.317856,2001-04-15,28.854733,0.058015823
2001,5,28.468111,27.608215,28.957857,2001-05-15,27.985186,0.48292542
2001,6,26.697868,26.272497,27.545,2001-06-15,26.798796,-0.10092735
2001,7,25.492178,24.788212,26.427143,2001-07-15,25.807795,-0.3156166
2001,8,25.072868,24.41357,25.651785,2001-08-15,25.307146,-0.23427773
2001,9,25.754559,25.348927,26.268572,2001-09-15,25.65103,0.10352898
2001,10,26.77266,26.067142,27.592855,2001-10-15,26.394232,0.3784275
2001,11,27.745358,27.301071,28.246784,2001-11-15,27.614315,0.13104248
2001,12,28.523132,27.884645,29.268572,2001-12-15,28.478245,0.044887543
2002,1,28.710955,27.218927,30.391071,2002-01-15,28.576626,0.13432884
2002,2,28.762104,27.361786,30.630716,2002-02-15,28.754911,0.0071926117
2002,3,29.499388,28.965715,30.248571,2002-03-15,29.323496,0.17589188
2002,4,28.736774,28.14107,29.432142,2002-04-15,28.854733,-0.11795807
2002,5,28.221703,27.152143,29.436071,2002-05-15,27.985186,0.23651695
2002,6,27.062355,25.984285,27.815355,2002-06-15,26.798796,0.26355934
2002,7,26.021923,25.535355,26.733572,2002-07-15,25.807795,0.2141285
2002,8,25.716923,25.290356,26.221432,2002-08-15,25.307146,0.4097767
2002,9,26.00344,25.236431,26.676788,2002-09-15,25.65103,0.35241127
2002,10,26.59038,26.001429,27.225714,2002-10-15,26.394232,0.19614792
2002,11,28.058071,26.342142,28.958216,2002-11-15,27.614315,0.4437561
2002,12,28.618362,27.4475,29.84464,2002-12-15,28.478245,0.14011765
2003,1,28.347672,27.326782,29.387142,2003-01-15,28.576626,-0.22895432
2003,2,28.928137,28.086782,30.0875,2003-02-15,28.754911,0.1732254
2003,3,29.82091,29.271788,30.655003,2003-03-15,29.323496,0.49741364
2003,4,29.244629,28.107141,30.230358,2003-04-15,28.854733,0.3898964
2003,5,28.000887,27.526426,28.521072,2003-05-15,27.985186,0.015701294
2003,6,27.202381,26.379286,27.91857,2003-06-15,26.798796,0.40358543
2003,7,26.125816,25.157139,26.834642,2003-07-15,25.807795,0.31802177
2003,8,25.293802,24.70036,25.772501,2003-08-15,25.307146,-0.013343811
2003,9,25.87125,25.035357,26.607143,2003-09-15,25.65103,0.22022057
2003,10,26.61963,26.166782,27.324642,2003-10-15,26.394232,0.22539902
2003,11,27.921227,27.198925,28.884642,2003-11-15,27.614315,0.30691147
2003,12,28.622719,27.967142,29.170355,2003-12-15,28.478245,0.14447403
2004,1,29.385899,28.35607,30.270353,2004-01-15,28.576626,0.80927277
2004,2,28.936895,27.762499,29.852499,2004-02-15,28.754911,0.18198395
2004,3,28.912176,27.834284,29.898573,2004-03-15,29.323496,-0.41131973
2004,4,28.76769,28.219645,29.616787,2004-04-15,28.854733,-0.087041855
2004,5,27.84758,26.963213,28.616072,2004-05-15,27.985186,-0.13760567
2004,6,26.463903,25.879286,27.069641,2004-06-15,26.798796,-0.33489227
2004,7,25.676336,24.811071,26.120712,2004-07-15,25.807795,-0.13145828
2004,8,25.695807,25.366428,26.079283,2004-08-15,25.307146,0.38866043
2004,9,25.857452,25.590714,26.350712,2004-09-15,25.65103,0.2064228
2004,10,26.67773,25.808216,27.226786,2004-10-15,26.394232,0.28349876
2004,11,27.595106,26.940355,28.521072,2004-11-15,27.614315,-0.019208908
2004,12,28.419792,26.967499,29.464289,2004-12-15,28.478245,-0.058452606
2005,1,28.715853,27.294641,29.868212,2005-01-15,28.576626,0.13922691
2005,2,29.099655,27.71143,30.098211,2005-02-15,28.754911,0.34474373
2005,3,29.535368,28.857498,30.31143,2005-03-15,29.323496,0.2118721
2005,4,29.386332,28.240713,30.447142,2005-04-15,28.854733,0.53159904
2005,5,28.316877,27.567142,29.071428,2005-05-15,27.985186,0.33169174
2005,6,27.238403,25.728212,28.196426,2005-06-15,26.798796,0.43960762
2005,7,26.1616,25.650356,26.968216,2005-07-15,25.807795,0.35380554
2005,8,25.651392,25.087143,25.957499,2005-08-15,25.307146,0.3442459
2005,9,25.942142,25.37357,26.3725,2005-09-15,25.65103,0.2911129
2005,10,26.440378,25.36357,27.067854,2005-10-15,26.394232,0.046146393
2005,11,27.555119,26.875355,28.24857,2005-11-15,27.614315,-0.059196472
